group1,group2,Diff,Lower,Upper,q-value,p-value
"(11, 0)","(43, 0)",3.007142857142857,-8.603998790867603,14.61828450515332,1.5612646726055937,0.9
"(3, 1)","(3, 0)",1.298896385542168,-0.4314689858931997,3.0292617569775357,4.52516155606375,0.6854872581808823
"(3, 1)","(5, 1)",0.36249230769230767,-1.4780917562615836,2.203076371646199,1.1872455033361355,0.9
"(3, 1)","(5, 0)",1.2184538461538459,-0.7415120141835994,3.178419706491291,3.747640920818038,0.9
"(3, 1)","(35, 1)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(35, 0)",3.4348,-7.498596904052492,14.368196904052493,1.8938419661498636,0.9
"(3, 1)","(13, 1)",2.9214666666666664,-3.4734515094282763,9.31638484276161,2.753996217033489,0.9
"(3, 1)","(13, 0)",2.7648,-2.2517865488826603,7.781386548882661,3.322406802887089,0.9
"(3, 1)","(6, 1)",0.8769428571428577,-2.2851841067513967,4.039069821037112,1.6718195035681858,0.9
"(3, 1)","(6, 0)",0.3725777777777779,-3.458903487314235,4.20405904286979,0.5862024613440382,0.9
"(3, 1)","(14, 1)",0.2781333333333329,-6.11678484276161,6.673051509428276,0.26218959010231613,0.9
"(3, 1)","(14, 0)",2.9697999999999998,-4.811975236062672,10.751575236062672,2.30062543042076,0.9
"(3, 1)","(15, 1)",2.4514666666666662,-3.9434515094282765,8.846384842761609,2.310938544401338,0.9
"(3, 1)","(15, 0)",2.7447999999999997,-8.188596904052492,13.678196904052491,1.5133974114033262,0.9
"(3, 1)","(7, 1)",0.8123428571428573,-3.4801168204688366,5.104802534754551,1.1408552303708883,0.9
"(3, 1)","(7, 0)",0.8192000000000004,-2.2528193238180347,3.8912193238180355,1.6075459525975269,0.9
"(3, 1)","(8, 1)",0.6263111111111117,-3.205170153980901,4.457792376203125,0.9854187146916606,0.9
"(3, 1)","(8, 0)",2.205911111111111,-1.625570153980902,6.037392376203124,3.4707129624106687,0.9
"(3, 1)","(25, 1)",2.3348,-8.598596904052492,13.268196904052491,1.287336154235094,0.9
"(3, 1)","(25, 0)",0.09480000000000022,-10.83859690405249,11.028196904052493,0.05226977360865479,0.9
"(3, 1)","(20, 1)",1.9447999999999999,-8.988596904052493,12.87819690405249,1.0723022754653122,0.9
"(3, 1)","(20, 0)",4.2448,-6.688596904052492,15.178196904052491,2.3404507912871026,0.9
"(3, 1)","(24, 1)",1.3948,-9.538596904052492,12.328196904052492,0.7690493695079276,0.9
