,group1,group2,Diff,Lower,Upper,q-value,p-value,df_num,dv_num,iv,ds_name,dv_name
84,62.0,31.0,0.5444345238095236,-1.8876312890143554,2.9765003366334026,1.2972921555395298,0.9,1,1,breed_n,df,wt_kg
85,62.0,52.0,1.7247916666666665,-2.4421284256545865,5.8917117589879195,2.3987717799446475,0.9,1,1,breed_n,df,wt_kg
86,62.0,48.0,1.687291666666666,-4.0911868154969575,7.465770148830289,1.6921704982783783,0.9,1,1,breed_n,df,wt_kg
87,62.0,65.0,1.5377083333333337,-6.552161541695738,9.627578208362404,1.1015390301970895,0.9,1,1,breed_n,df,wt_kg
88,62.0,7.0,4.362291666666666,-3.727578208362406,12.452161541695737,3.1249323605604724,0.9,1,1,breed_n,df,wt_kg
89,62.0,43.0,1.166577380952381,-1.265488431871498,3.59864319377626,2.779749664936477,0.9,1,1,breed_n,df,wt_kg
90,62.0,6.0,0.05309294871794901,-2.450344459019051,2.556530356454949,0.12290443842795225,0.9,1,1,breed_n,df,wt_kg
91,62.0,1.0,4.337708333333334,-1.440770148830289,10.116186815496958,4.350250888338577,0.6265822077168268,1,1,breed_n,df,wt_kg
92,62.0,34.0,1.8252083333333333,-2.3417117589879197,5.992128425654586,2.5384272936459786,0.9,1,1,breed_n,df,wt_kg
93,62.0,18.0,2.304375000000001,-2.4606804274638856,7.069430427463888,2.802545396681958,0.9,1,1,breed_n,df,wt_kg
94,62.0,17.0,2.5377083333333337,-5.552161541695738,10.627578208362404,1.8178901133763372,0.9,1,1,breed_n,df,wt_kg
95,62.0,9.0,2.6710416666666665,-2.0940137607972202,7.436097094130553,3.248479751456411,0.9,1,1,breed_n,df,wt_kg
96,62.0,14.0,0.562291666666666,-7.527578208362406,8.652161541695737,0.4027982444793307,0.9,1,1,breed_n,df,wt_kg
97,62.0,42.0,3.3399839743589737,0.8365465666219736,5.843421382095974,7.731701942336711,0.001,1,1,breed_n,df,wt_kg
98,62.0,56.0,2.8722916666666665,-0.8903809145159003,6.634964247849233,4.423841592619619,0.5899137333683032,1,1,breed_n,df,wt_kg
99,62.0,2.0,2.3377083333333344,-5.752161541695737,10.427578208362405,1.6746198967404882,0.9,1,1,breed_n,df,wt_kg
100,62.0,26.0,0.7622916666666661,-4.002763760797221,5.527347094130553,0.9270873887043913,0.9,1,1,breed_n,df,wt_kg
101,62.0,51.0,0.762291666666667,-5.016186815496956,6.5407701488302905,0.7644958455612535,0.9,1,1,breed_n,df,wt_kg
102,62.0,3.0,3.0377083333333337,-2.74077014883029,8.816186815496957,3.0464919169523457,0.9,1,1,breed_n,df,wt_kg
103,62.0,54.0,1.8622916666666667,-6.227578208362405,9.952161541695737,1.3340546526123533,0.9,1,1,breed_n,df,wt_kg
104,62.0,25.0,3.8377083333333344,-0.9273470941305524,8.60276376079722,4.667361789375132,0.46714304496789716,1,1,breed_n,df,wt_kg
105,62.0,24.0,2.3077083333333333,-5.782161541695738,10.397578208362404,1.65312936424511,0.9,1,1,breed_n,df,wt_kg
106,62.0,63.0,5.462291666666666,-2.6275782083624053,13.552161541695739,3.9129185520576453,0.8444899050329029,1,1,breed_n,df,wt_kg
